input_sha256,layer,layer_label,country,region,covered_capacity_mw,registered_capacity_mw,regional_coverage_pct,covered_source_records,registered_source_records
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,Yorkshire and the Humber,0,16,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,West Midlands,0,15,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,United Kingdom,East Midlands,0,9,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,data_center_tariff_evidence,Strict data-center-specific subset,Canada,Quebec,229.5,229.5,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United States,Virginia,8315,8315,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United States,Texas,4123,4123,100,2,2
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United States,Pacific Northwest,0,4120,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United States,Ohio,3541,3541,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United States,Georgia,2070,2070,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United States,Arizona,1653,1653,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United States,Nebraska–Iowa,0,1378,0,0,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,comparable_proxy,Observed prices or applicable tariffs,United States,Illinois,1223,1223,100,1,1
